score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
16615.000000;157;112;154.439439;98.926927
17604.000000;151;110;147.524525;97.421421
18286.000000;156;121;152.106106;100.522523
17373.000000;159;106;152.989990;96.623624
14897.000000;157;100;154.442442;95.314314
16405.000000;155;114;151.262262;97.235235
18093.000000;156;111;152.271271;100.019019
16983.000000;156;113;148.607608;95.386386
17815.000000;155;110;148.868869;97.390390
16918.000000;154;109;150.335335;99.060060
7952.000000;63;37;62.163163;38.700701
18326.000000;158;119;150.064064;97.782783
16341.000000;154;104;149.338338;92.559560
16979.000000;156;101;152.108108;96.058058
17709.000000;157;108;151.878879;97.384384
11558.000000;88;59;88.564565;56.054054
18336.000000;158;121;152.351351;102.472472
17827.000000;155;115;151.281281;99.506507
16880.000000;144;103;141.018018;92.480480
17171.000000;144;98;141.532533;89.839840
18494.000000;153;111;149.121121;100.506507
18371.000000;152;108;148.567568;99.524525
18035.000000;153;113;148.121121;98.202202
16066.000000;160;99;153.398398;91.556557
17717.000000;151;104;148.001001;96.647648
16456.000000;152;102;148.877878;94.236236
16728.000000;155;109;152.502503;94.733734
16141.000000;157;109;152.550551;94.639640
17929.000000;150;108;147.471471;98.648649
17081.000000;147;100;143.014014;92.715716
17620.000000;153;117;150.738739;99.311311
17061.000000;156;110;153.350350;99.247247
17254.000000;154;108;151.530531;98.258258
17236.000000;149;106;146.375375;95.561562
16939.000000;150;104;147.870871;96.170170
18512.000000;155;110;151.579580;102.312312
16853.000000;152;103;148.293293;94.056056
17328.000000;152;108;146.856857;95.983984
17524.000000;156;101;152.313313;98.735736
16370.000000;160;109;156.001001;98.863864
18864.000000;152;109;148.777778;102.369369
18094.000000;157;110;151.281281;101.623624
16182.000000;156;100;151.065065;92.769770
17348.000000;150;100;146.291291;92.589590
17660.000000;159;114;155.114114;102.186186
16622.000000;155;101;149.449449;95.485485
16404.000000;155;100;152.040040;94.580581
17702.000000;154;116;149.482482;96.238238
17964.000000;157;115;152.131131;100.450450
16749.000000;125;101;122.557558;82.905906
16747.000000;150;99;145.775776;92.867868
18578.000000;157;117;152.709710;100.467467
11849.000000;89;57;87.753754;53.141141
14630.000000;115;75;113.409409;68.656657
17913.000000;152;107;149.554555;98.261261
10891.000000;83;53;81.149149;49.041041
17724.000000;155;108;147.643644;95.245245
16222.000000;151;99;146.199199;90.070070
17269.000000;156;111;151.211211;97.646647
16873.000000;153;104;150.263263;95.832833
16392.000000;157;104;151.453453;92.155155
17564.000000;157;119;151.107107;99.835836
17083.000000;157;103;153.396396;98.408408
16905.000000;156;109;152.189189;94.480480
17377.000000;155;113;150.655656;100.649650
17983.000000;159;121;153.780781;102.381381
18342.000000;157;122;150.761762;99.949950
16494.000000;155;109;149.411411;92.480480
16347.000000;154;97;149.025025;90.834835
16820.000000;156;115;152.223223;99.196196
18007.000000;154;105;148.170170;96.117117
17687.000000;143;105;139.696697;92.365365
17611.000000;142;94;139.017017;86.948949
17384.000000;154;116;149.652653;95.732733
18161.000000;154;115;148.028028;99.922923
17224.000000;153;102;148.944945;97.742743
16267.000000;157;103;154.502503;96.093093
17076.000000;153;104;150.832833;96.688689
17545.000000;156;106;151.025025;94.991992
17273.000000;158;112;153.719720;99.152152
16928.000000;157;114;151.165165;98.624625
17185.000000;156;113;152.479479;99.890891
17122.000000;156;116;151.379379;99.260260
17294.000000;155;97;152.113113;96.749750
17105.000000;154;104;149.904905;94.847848
17880.000000;156;116;151.723724;102.164164
17253.000000;156;102;151.668669;97.436436
15160.000000;128;82;126.626627;76.302302
17290.000000;155;112;151.226226;98.258258
16402.000000;148;93;144.879880;91.221221
17078.000000;154;104;150.644645;96.705706
16391.000000;132;89;130.676677;84.505506
16850.000000;143;89;140.744745;88.649650
10750.000000;78;61;78.064064;53.122122
13822.000000;117;85;114.935936;74.249249
16092.000000;157;104;154.476476;96.155155
15674.000000;149;90;146.727728;86.486486
17993.000000;152;105;147.194194;95.672673
17423.000000;152;110;149.187187;98.145145
17771.000000;155;106;152.575576;100.304304
18205.000000;158;110;154.267267;105.446446
16626.000000;132;95;129.714715;86.464464
17491.000000;158;117;154.934935;103.793794
18474.000000;152;112;148.328328;100.667668
17083.000000;159;107;154.431431;100.602603
17006.000000;155;111;152.442442;97.037037
17830.000000;158;114;152.313313;101.745746
15414.000000;126;85;122.584585;78.378378
17396.000000;155;106;149.068068;96.283283
15975.000000;153;104;148.669670;96.047047
19171.000000;150;114;145.118118;99.859860
16482.000000;156;102;153.336336;93.960961
17878.000000;155;116;151.116116;99.486486
17548.000000;152;103;146.660661;92.466466
18114.000000;153;112;148.019019;98.923924
17638.000000;156;110;150.875876;98.740741
16073.000000;153;108;150.077077;94.622623
16699.000000;148;94;144.988989;88.386386
18442.000000;155;112;150.372372;99.073073
17139.000000;154;101;150.799800;99.512513
17006.000000;155;103;148.141141;90.469469
16950.000000;155;107;151.667668;95.134134
17152.000000;157;105;148.700701;93.623624
18294.000000;155;110;151.735736;98.696697
15365.000000;152;92;148.711712;90.115115
16555.000000;155;104;150.798799;94.256256
17126.000000;161;114;155.305305;102.100100
17127.000000;157;115;150.266266;99.008008
17400.000000;155;102;151.943944;96.244244
18021.000000;150;111;145.769770;95.038038
17944.000000;155;118;149.854855;98.892893
16903.000000;155;102;149.689690;94.566567
17114.000000;149;94;144.533534;92.988989
17648.000000;134;84;133.301301;83.387387
17651.000000;153;102;148.744745;96.147147
17662.000000;157;103;150.846847;97.103103
17535.000000;158;115;152.559560;99.852853
16906.000000;156;104;152.088088;95.514515
8828.000000;88;51;85.620621;51.387387
17623.000000;154;109;149.239239;95.577578
18377.000000;159;117;152.677678;102.303303
16250.000000;158;112;155.015015;96.741742
17072.000000;159;111;154.810811;101.105105
