score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
5729.000000;136;92;132.732733;87.786787
4747.000000;145;97;140.431431;91.925926
6382.000000;123;87;119.214214;75.958959
5843.000000;145;104;134.102102;86.910911
4968.000000;133;98;127.277277;81.005005
5613.000000;143;97;138.151151;88.129129
5640.000000;101;70;98.293293;64.899900
6214.000000;136;93;130.326326;85.296296
6098.000000;141;92;136.410410;88.402402
6048.000000;146;101;140.727728;92.331331
5090.000000;144;100;138.045045;86.683684
5404.000000;136;97;129.879880;84.264264
5002.000000;128;85;125.135135;82.814815
5187.000000;149;104;142.386386;93.339339
4365.000000;151;106;142.555556;90.273273
6915.000000;141;103;133.876877;90.465465
5125.000000;141;96;137.256256;87.894895
5667.000000;142;103;135.926927;88.857858
5340.000000;143;99;137.349349;88.630631
6212.000000;147;103;141.513514;93.494494
5722.000000;150;112;140.752753;94.446446
5996.000000;139;103;131.232232;85.981982
5468.000000;101;66;101.260260;66.544545
6372.000000;149;115;139.005005;92.185185
6051.000000;127;83;127.599600;84.197197
6028.000000;141;101;135.959960;89.591592
5871.000000;148;108;138.202202;88.835836
6687.000000;145;106;135.516517;91.053053
6359.000000;137;102;128.483483;82.211211
4571.000000;129;88;125.049049;78.374374
4867.000000;144;95;142.043043;92.510511
7190.000000;132;100;125.983984;83.194194
5845.000000;139;96;135.852853;89.231231
4661.000000;140;90;134.494494;83.845846
7196.000000;143;106;135.935936;90.786787
4934.000000;147;104;138.525526;87.450450
6099.000000;148;109;138.921922;91.454454
5423.000000;144;95;137.461461;88.233233
6063.000000;137;91;133.491491;84.643644
4830.000000;137;87;133.723724;84.200200
5744.000000;139;96;133.030030;86.071071
5902.000000;142;103;136.223223;90.314314
6596.000000;128;95;121.052052;79.246246
6305.000000;145;105;135.739740;86.313313
6230.000000;113;82;108.231231;70.137137
7228.000000;138;100;133.531532;89.716717
5532.000000;141;93;138.267267;87.953954
6926.000000;144;110;136.615616;94.783784
5657.000000;144;103;137.631632;90.296296
6268.000000;144;103;135.534535;88.833834
6207.000000;132;87;125.854855;80.976977
5536.000000;142;101;137.354354;91.289289
6771.000000;134;88;132.965966;88.326326
5972.000000;151;107;143.319319;95.528529
3823.000000;91;56;89.479479;57.561562
6398.000000;142;103;136.525526;90.175175
4734.000000;144;93;140.071071;85.400400
5680.000000;134;88;132.177177;86.027027
5725.000000;148;106;141.055055;94.199199
6518.000000;147;99;140.290290;94.046046
5716.000000;100;79;97.580581;65.312312
6113.000000;140;101;135.228228;90.717718
5833.000000;148;102;141.832833;93.981982
2388.000000;64;43;59.746747;34.721722
6226.000000;146;111;138.746747;93.046046
5734.000000;150;111;143.624625;93.660661
6089.000000;137;98;131.415415;88.721722
5849.000000;141;104;133.893894;88.087087
4995.000000;147;95;141.659660;88.876877
6388.000000;147;99;141.372372;92.966967
6440.000000;145;100;137.417417;91.147147
5192.000000;147;98;138.135135;85.576577
4892.000000;148;103;142.691692;93.061061
5509.000000;139;94;133.101101;85.244244
5867.000000;116;78;113.355355;72.380380
5311.000000;146;97;140.077077;91.538539
6034.000000;137;94;129.612613;84.889890
5043.000000;137;91;132.432432;83.640641
5045.000000;140;97;135.425425;84.369369
4844.000000;143;105;137.616617;88.765766
